gen,evals,dataset_i,avg,std,min,max
256,93,1,[   1.64341344 1036.29494456],[  0.74221066 649.66532741],[0.70960729 5.79076342],[   5.09918385 2630.77766825]
257,98,2,[  1.24782247 345.2907962 ],[  0.77418174 214.12043138],[ 0.08926663 11.472174  ],[   3.35404464 1639.20612946]
258,98,2,[  1.28466756 360.54080078],[  0.80569326 209.77306851],[ 0.08926663 11.472174  ],[   3.35404464 1639.20612946]
259,94,2,[  1.37008959 367.0119926 ],[  0.82139174 213.78963265],[ 0.08926663 11.472174  ],[   3.35404464 1639.20612946]
260,96,2,[  1.44661072 375.9355442 ],[  0.89777769 232.54799676],[0.08926663 7.96714692],[   3.66897021 1639.20612946]
261,97,2,[  1.62179711 359.28723301],[  0.96233422 254.25682585],[ 0.08926663 10.15761689],[   3.66897021 1639.20612946]
262,97,2,[  1.62976131 369.99124509],[  0.96964988 263.14863725],[ 0.08926663 10.15761689],[   3.66897021 1639.20612946]
263,94,2,[  1.69058334 381.24042156],[  0.96396307 306.74482204],[ 0.08926663 10.15761689],[   3.66897021 1639.20612946]
264,97,2,[  1.74346909 373.64151308],[  0.99128092 306.23596894],[0.08926663 4.64258564],[   3.66897021 1639.20612946]
265,94,0,[  2.05844543 697.78338901],[1.18081703e+00 4.10142639e+03],[0.005343   4.03779248],[5.80180252e+00 4.06498491e+04]
266,95,0,[  2.06120839 937.02023844],[1.28101850e+00 4.34244913e+03],[0.005343   4.03779248],[5.80180252e+00 4.06498491e+04]
267,87,0,[   1.98403022 1836.70193849],[1.36079127e+00 7.38174638e+03],[2.42860723e-03 6.73833789e+00],[5.80180252e+00 4.58798764e+04]
268,96,0,[2.05667798e+00 3.32378409e+03],[1.51867897e+00 9.62396051e+03],[1.23473176e-03 7.28303930e+00],[6.64547353e+00 4.58798764e+04]
269,99,0,[1.95891141e+00 2.45951188e+03],[1.36865773e+00 8.02060980e+03],[2.42860723e-03 1.30645775e+01],[6.64547353e+00 4.58798764e+04]
270,96,0,[1.99332389e+00 4.22636834e+03],[1.50207094e+00 1.06872685e+04],[2.42860723e-03 1.45298647e+01],[6.68116007e+00 4.58798764e+04]
271,92,0,[2.15324036e+00 5.83184432e+03],[1.81655524e+00 1.20640794e+04],[0.00242861 1.13679236],[6.68116007e+00 4.58798764e+04]
272,97,0,[2.10683305e+00 4.80112170e+03],[1.74230279e+00 1.06939216e+04],[3.72636006e-03 1.52088366e+01],[6.82478620e+00 4.76171856e+04]
273,96,1,[  0.3110919  261.57067974],[ 10.12773414 294.06265795],[-100. -100.],[   5.58529874 1265.0459258 ]
274,93,1,[  1.65902877 374.72118116],[  0.90710398 324.05623992],[0.02051517 9.94280173],[   5.58529874 1265.0459258 ]
275,94,1,[  1.93049722 456.52115687],[  0.70527942 348.63890126],[0.78841246 9.94280173],[   5.58529874 1265.0459258 ]
276,98,1,[  1.95481838 520.74521524],[  0.83476755 389.97671359],[0.19206793 5.4553465 ],[   6.28844305 1987.56786636]
277,95,1,[  2.0629549  526.92663497],[  0.934356   442.21448682],[0.7222813 5.4553465],[   6.49848944 2209.0912238 ]
278,90,1,[  2.11689455 539.92735026],[  0.95261612 475.29980768],[0.7222813 5.4553465],[   6.49848944 2209.0912238 ]
279,91,1,[  2.01101853 597.61345027],[  0.91928682 463.97642842],[0.7222813  5.86827081],[   6.49848944 2209.0912238 ]
280,94,1,[  1.92772649 694.80793282],[  0.99755542 505.49255103],[0.30919535 5.86827081],[   6.49848944 2652.76099535]
281,96,2,[  1.1999966  360.09403889],[  0.46737403 116.6139154 ],[  0.55411087 112.61491509],[  1.93629836 867.42934963]
282,95,2,[  1.29481108 387.45745298],[  0.51361552 146.72105564],[ 0.07770861 40.64362627],[  2.24968564 921.75403797]
283,99,2,[  1.42856483 383.33244156],[  0.50986017 185.55850843],[ 0.07770861 38.47281406],[  2.44402448 921.75403797]
284,97,2,[  1.55608653 378.85816618],[  0.51311426 215.1083997 ],[ 0.15089642 29.77147901],[   3.15280049 1030.79494623]
285,99,2,[  1.61524553 374.76761871],[  0.49553726 194.46330512],[ 0.55411087 47.27148958],[   3.15280049 1030.79494623]
286,95,2,[  1.58672571 395.55797863],[  0.57634782 223.25082305],[ 0.55411087 47.27148958],[   3.15280049 1030.79494623]
287,100,2,[  1.54454109 421.7459885 ],[  0.55861904 238.93361079],[ 0.55183213 40.54077131],[   3.15280049 1049.51807222]
288,99,2,[  1.59773607 408.10991994],[  0.54821134 231.72165059],[ 0.32355471 40.54077131],[   3.15280049 1049.51807222]
289,94,0,[  2.40078315 304.30771824],[6.42213410e-01 1.36840644e+03],[4.36254479e-04 1.66793778e+01],[3.82395141e+00 1.03747647e+04]
290,98,0,[  2.35107081 696.03129348],[9.33981731e-01 2.13372240e+03],[1.77573134e-04 1.66793778e+01],[3.82395141e+00 1.03747647e+04]
291,98,0,[   2.19074624 1376.95756227],[9.78298526e-01 3.45337720e+03],[1.96052605e-04 1.13256072e+01],[4.08243041e+00 2.01708157e+04]
292,99,0,[2.04206099e+00 2.28828787e+03],[1.23999275e+00 4.78298748e+03],[1.96052605e-04 1.07202720e+01],[6.81720441e+00 2.37596608e+04]
